Store,Name,Latitude,Longitude,Address
Waitrose,Waitrose & Partners,51.516813,-0.187454,"38 Porchester Rd, London W2 6ES, United Kingdom"
Waitrose,Waitrose & Partners,51.480223,-0.1994329,"402 North End Rd, London SW6 1LX, United Kingdom"
Waitrose,Waitrose & Partners,51.5561395,-0.1161391,"366 Holloway Rd, London N7 6PA, United Kingdom"
Waitrose,Waitrose & Partners,51.51944580000001,-0.1518961,"98, 101 Marylebone High St, London W1U 4SD, United Kingdom"
Waitrose,Waitrose & Partners,51.53389319999999,-0.1072545,"21 Liverpool Rd, London N1 0RW, United Kingdom"
Waitrose,Waitrose & Partners,51.536176,-0.123422,"1 Wharf Road, London N1C 4BZ, United Kingdom"
Waitrose,Waitrose & Partners,51.5175383,-0.1657766,"168-176 Edgware Rd, London W2 2DS, United Kingdom"
Waitrose,Waitrose & Partners,51.6072479,-0.2089433,"2 Langstone Way, London NW7 1GU, United Kingdom"
Lidl,Lidl,51.52421409999999,-0.1372409,"145 Tottenham Ct Rd, London W1T 7NE, United Kingdom"
Lidl,Lidl,51.548117,0.0249297,"39A-49A, Woodgrange Rd, London E7 8BG, United Kingdom"
Lidl,Lidl,51.495912,0.119071,"1b Eynsham Dr, Abbey Wood, London SE2 9RQ, United Kingdom"
Lidl,Lidl,51.51598000000001,0.05479,"198 Tollgate Rd, London E6 5YA, United Kingdom"
Lidl,Lidl,51.536042,0.034777,"374-378 Green St, London E13 9AP, United Kingdom"
Lidl,Lidl,51.4924093,0.0658588,"38 Macbean St., London SE18 6LW, United Kingdom"
Lidl,Lidl,51.53344209999999,0.0537534,"363 Barking Rd, London E6 1FG, United Kingdom"
Lidl,Lidl,51.55722,-0.11842,"422-434 Holloway Rd, London N7 6QD, United Kingdom"
Lidl,Lidl,51.43728,0.04331,"24 Mottingham Rd, London SE9 4QW, United Kingdom"
Lidl,Lidl,51.39915,0.11246,"168 Sevenoaks Way, London BR5 3AE, United Kingdom"
Lidl,Lidl,51.5328065,-0.0802674,"209/223 Hoxton St, London N1 5LG, United Kingdom"
Lidl,Lidl,51.450959,0.055926,"137 Eltham High St, London SE9 1TQ, United Kingdom"
Lidl,Lidl,51.54173,-0.001099,"Great Eastern Rd, London E15 1XE, United Kingdom"
Lidl,Lidl,51.48005,-0.05989999999999999,"760 Old Kent Rd, London SE15 1NJ, United Kingdom"
Lidl,Lidl,51.5406691,-0.0538772,"27 Well St, London E9 7QX, United Kingdom"
Lidl,Lidl,51.51421,-0.02833,"306 Burdett Rd, London E14 7DL, United Kingdom"
Lidl,Lidl,51.496922,0.1563909,"Clydesdale Way, Belvedere DA17 6FD, United Kingdom"
Lidl,Lidl,51.4603196,-0.0048038,"104 -120 Lee High Rd, London SE13 5PR, United Kingdom"
Lidl,Lidl,51.41152,-0.13993,"216 Rowan Rd, London SW16 5HX, United Kingdom"
Lidl,Lidl,51.5662297,-0.1071925,"The Arts Building, Morris Pl, Finsbury Park, London N4 3FB, United Kingdom"
Pret A Manger,Pret A Manger,51.5116009,-0.1274809,"77-78 St Martin's Ln, London WC2N 4AA, United Kingdom"
